id,host_id,bathrooms_text,bedrooms,beds
46899528,3223938,1.5 shared baths,1,1
47468531,3223938,1 shared bath,1,1
47473722,3223938,2 shared baths,1,1
47755393,3223938,1 shared bath,1,1
47767712,200239515,1 shared bath,1,1
48111332,3223938,1 shared bath,1,1
48123720,200239515,2.5 shared baths,1,1
48213630,200239515,1 shared bath,1,1
48384753,390535864,1 shared bath,1,1
48414050,3223938,1 shared bath,1,1
49257438,3223938,1 shared bath,1,1
49293503,3223938,1 shared bath,4,1
50105429,3223938,1 shared bath,1,1
50249217,3223938,2 shared baths,1,1
50642735,3223938,2 shared baths,1,1
50950644,3223938,1 shared bath,1,1
53191232,430599829,1 shared bath,1,1
53288928,19303369,1 shared bath,1,1
53292368,200239515,1 shared bath,1,1
5.40E+17,3223938,1 shared bath,1,1
5.40E+17,3223938,1 shared bath,1,1
5.46E+17,3223938,2 shared baths,1,1
5.50E+17,3223938,2 shared baths,1,1
5.60E+17,60828137,1 shared bath,1,1
6.22E+17,3223938,1 shared bath,1,1
6.61E+17,200239515,1 shared bath,1,1
6.86E+17,3223938,1 shared bath,1,1
6.87E+17,3223938,1 shared bath,1,1
7.65E+17,3603284,1 shared bath,1,1
6384622,31752474,1 shared bath,1,1
7728265,6623512,1 bath,1,1
11431871,60059749,1 shared bath,1,1
14131597,3620205,1 shared bath,1,1
19066190,52052321,1 shared bath,1,2
19382104,25064774,1 shared bath,1,1
19996592,4077993,1 shared bath,1,1
20832523,136104359,1 shared bath,1,1
21550717,7229833,1 bath,,1
21973105,3223938,2 shared baths,1,1
22342020,33060882,1 shared bath,1,1
24851371,187861161,1.5 shared baths,1,
30354304,3285978,1 private bath,1,1
30509757,200239515,1 shared bath,1,1
30676340,727459,1 shared bath,1,1
30882631,3285978,1 shared bath,1,1
31000783,200239515,1 shared bath,1,1
32466614,238989521,1 shared bath,1,1
32470732,19303369,2 shared baths,1,1
34791645,30509656,1 shared bath,1,1
36105777,114413305,1 private bath,1,1
36421864,238989521,1 shared bath,1,1
36922223,137358866,1 shared bath,1,1
37074081,204704622,1 shared bath,1,1
39036247,161140139,2 shared baths,1,1
39424633,218336964,1 shared bath,1,1
40538432,8287316,1 shared bath,1,1
42890061,204704622,1 shared bath,1,
43038680,204704622,1 shared bath,1,1
43414885,204704622,2.5 shared baths,1,1
43667522,19303369,1 shared bath,1,1
43931518,204704622,2.5 shared baths,1,1
44580140,19303369,1 shared bath,1,1
45057731,19303369,1 shared bath,1,2
45223171,200239515,2.5 shared baths,1,1
45384916,204704622,1 shared bath,1,1
45842595,200239515,1 shared bath,1,1
46142886,238989521,1 shared bath,1,1
46795911,204704622,1 shared bath,1,1
46868917,3223938,1 shared bath,1,1
46899354,3223938,1.5 shared baths,1,1
46901954,3223938,2 shared baths,1,1
47847604,200239515,2.5 shared baths,1,1
47848179,19303369,2.5 shared baths,1,1
47973089,50455642,1 shared bath,1,1
48083343,3223938,2 shared baths,1,1
48382594,390535864,1 shared bath,1,1
48425681,390535864,1 shared bath,1,1
48426005,390535864,1 shared bath,1,1
48463531,200239515,1 shared bath,1,1
49159620,3223938,1 shared bath,1,1
50249515,3223938,1 shared bath,1,1
50642852,3223938,2 shared baths,1,1
50652635,3223938,1 shared bath,1,1
52316709,3223938,1 shared bath,1,1
52438125,3223938,2 shared baths,1,1
52500005,3223938,1 shared bath,1,1
52508357,3223938,2 shared baths,1,1
52508703,3223938,2 shared baths,1,1
52854749,3223938,2 shared baths,1,1
52855420,3223938,1 shared bath,1,1
53082213,3223938,1 shared bath,1,1
53098418,19303369,1 shared bath,1,1
53227851,3223938,2 shared baths,1,1
53655582,3223938,2 shared baths,1,1
54004748,200239515,2 shared baths,1,1
54020408,204704622,2 shared baths,1,1
5.45E+17,30509656,1 shared bath,1,1
5.48E+17,3223938,1 shared bath,3,1
5.60E+17,60828137,1 shared bath,1,3
5.90E+17,3223938,2 shared baths,1,1
6.10E+17,30509656,1 shared bath,1,1
6.11E+17,3223938,2 shared baths,1,1
6.29E+17,3223938,2 shared baths,1,1
6.29E+17,19303369,1 shared bath,1,1
6.29E+17,19303369,1 shared bath,1,1
6.61E+17,200239515,1 shared bath,1,1
6.71E+17,200239515,1 shared bath,1,1
6.81E+17,200239515,1 shared bath,1,1
6.84E+17,264092618,1 shared bath,1,1
7.41E+17,484253956,1 shared bath,1,1
7.47E+17,484932415,1 shared bath,1,1
7.47E+17,484932415,1 shared bath,1,1
7.47E+17,484932415,1 shared bath,1,1
7.70E+17,429826037,1 shared bath,1,1
7.70E+17,27061510,1 shared bath,1,1
10789121,329931,1 bath,1,1
10826734,10295496,1 bath,1,2
10995810,57055185,1 bath,1,1
12871310,29959914,1.5 baths,1,1
15987217,103883083,1 bath,1,1
16081134,24630962,1 shared bath,1,1
18596194,12827876,1 bath,1,1
20679134,147972663,1 shared bath,1,1
22249013,17672907,2 shared baths,1,1
22904809,24466431,1 shared bath,1,1
26685314,200621725,1 shared bath,1,1
26813610,19303369,2 shared baths,1,1
27527506,204704622,2.5 shared baths,1,1
28369648,19303369,1 shared bath,1,1
29455932,106692652,1 shared bath,1,1
30213410,204704622,1 shared bath,1,1
30438251,228536894,1 shared bath,1,1
32575757,244817841,2 shared baths,1,1
32616393,244817841,2 shared baths,1,1
32618577,244817841,2 shared baths,1,1
32792849,19303369,2.5 shared baths,1,1
34718463,30509656,1 shared bath,1,1
34782691,30509656,1 shared bath,1,1
34956061,96571275,1 shared bath,1,1
35169758,30509656,1 shared bath,1,1
